tweets,class,label
no one ever predicted this was going to happen.,figurative,1
its as closely related as Andrews original claim that evolution and entropy,figurative,1
I find it ironic when Vegans say they love food,figurative,1
Quick rt that throwing money vine I've not seen it 30 times in the last 30 seconds,figurative,1
"yep, keep adding me to your lists....",figurative,1
wonderful time with customer service can't add line w loyalty plan. Rep couldn't even explain data plan options to me,figurative,1
: But ... football.,figurative,1
So last month I lost my job and today my dad lost his. 2015 is such a great year...,figurative,1
"Rahm has solved crime, budget & pension issues, thus he's in France's to work on trade...",figurative,1
And the heel on my shoe just broke. I love when I buy expensive shoes and they don't last,figurative,1
This girl can't wait to shop on Michigan Ave.,figurative,1
That shitty feeling we all love so much 😊,figurative,1
...says the person typing in shorthand and emoji.,figurative,1
Crowded hallways are the loneliest places,figurative,1
I remember when I lived in Downtown Toronto... such an interesting place.,figurative,1
I'll go for to say that.,figurative,1
oh wait are you even in this episode?,figurative,1
"You say, via twitter.",figurative,1
"Maybe it's just me, but I'm sure that's not six words....😝",figurative,1
that I just tweeted about them,figurative,1
but moving the coaches from 1st to 3rd and 3rd to 1st is really working out though.,figurative,1
I just love getting anxiety at random times. Its fun!,figurative,1
last tweet was hashtag,figurative,1
To Liberals who care so much about Corporations and profits and are funded by the United States Government,figurative,1
it's pretty obvious mad he's not getting credit for ghostwriting drakes verse 😂,figurative,1
should really go to sleep love catching the bus to school in the morning 😎😣😴,figurative,1
surprisingly those with brains can't use them!,figurative,1
"Lol, clicked on this and it's surrounded by ads",figurative,1
Gotta let u in on what u missed out on 😊😊😊💯,figurative,1
"Pretty sure I was hating on ESPN, but whatever. You sure showed me! It burns! It burns!",figurative,1
Pencils for Pencils! via,figurative,1
Changing my band name to Secrets & Overalls. Because that's the best thing I've ever thought of in my life.,figurative,1
"I'm preeeeetttyyy sure that ""Respect the Red Light"" is about traffic laws.",figurative,1
It's really great that pointless feuding between celebs gets more attention than things that actually matter.,figurative,1
so u support to those people who wave Pakistan flag in India.,figurative,1
One time for Yay!,figurative,1
this family is famous because one of them got a cock in her tail! Oh and that murder trial!,figurative,1
"watch gypsy sisters on TLC , best ever 😂😂😂",figurative,1
"Yeah in 86 the best Celtics team of all-time won the title. Although led by an Indiana man, Larry Bird.",figurative,1
thought was dropping but keeping,figurative,1
Shows how out of touch the BBC are. They had John McTernan on talking about the way forward for & why they are rubbish.,figurative,1
This is going to be awesome after Giants games.,figurative,1
No big deal. In forty years time everybody will be striking nuclear deals with them and opening embassies,figurative,1
The party is not national but the spokesperson is national..,figurative,1
because a well armed surfer could have shot that shark!!,figurative,1
Trying to figure out how to get to AMS for Sail Amsterdam. Ticket prices are ONLY $1500,figurative,1
I am literally so sunburnt...and regretting not untying my bathing suit top yesterday.,figurative,1
I drove over this bridge a week ago. Nice to know we have a top notch rating system.,figurative,1
so not ironic,figurative,1
Did you see who was batting during Bagwell's grab? LJ Hoes!!,figurative,1
HURR HURR kitchen jokes are so funny!,figurative,1
"Yes, finally!!! :D I was waiting for 144p!",figurative,1
"I don't know if either of them have forgotten about it (probably not), but it still makes me feel fucking fantastic.",figurative,1
Now that's irony,figurative,1
"So are all cement guys dicks, or is it just because I'm a girl dealing with men's work?",figurative,1
"So, they finally found out! Hun... For me, healthy brain is way important than being rude ;)",figurative,1
Other excited day in my life,figurative,1
I'm so number one 😝😜😉,figurative,1
"I don't always respond to bots, but when I do, it's because I have something smartass to say.",figurative,1
"@ AQpk Indian-occupied? According to u wht constitutes ""Indian""? I thought u belived India is jst amalgamtion of diff identities!",figurative,1
This reg form asked just for my email…THEN I got THIS…for webinar on improving productivity!,figurative,1
An elitist over-privileged free market fundamentalist who went to a school where he was told he was born to rule?,figurative,1
monologues been the same boring shit for the last 10 years,figurative,1
"Mission Accomplished! Man, Bush was right all those years ago.",figurative,1
"this is what you call ""value for money"", spending your tax payers' money efficiently",figurative,1
When one of your tweets gets more favorites than you have followers...,figurative,1
AM: Won't eat before I brush my teeth PM: Won't eat after I brush my teeth,figurative,1
